theta_rad,phi_rad,area_cm2,sens_cgs
0.06805451385130692,0.7853981633974483,1211.0558541749672,4.555226092004235e-08
0.06805451385130692,2.356194490192345,1211.0558541749672,4.555226092004235e-08
0.06805451385130692,3.9269908169872414,1211.055854174967,4.555226092004235e-08
0.06805451385130692,5.497787143782138,1211.0558541749672,4.555226092004235e-08
0.13618798497945206,0.39269908169872414,1260.917829164517,4.4616478602643104e-08
0.13618798497945206,1.1780972450961724,1260.917829164517,4.4616478602643104e-08
0.13618798497945206,1.9634954084936207,1260.917829164517,4.4616478602643104e-08
0.13618798497945206,2.748893571891069,1260.9178291645171,4.4616478602643104e-08
0.13618798497945206,3.5342917352885173,1260.9178291645171,4.4616478602643104e-08
0.13618798497945206,4.319689898685965,1260.9178291645171,4.4616478602643104e-08
0.13618798497945206,5.105088062083414,1260.917829164517,4.4616478602643104e-08
0.13618798497945206,5.890486225480862,1260.9178291645171,4.4616478602643104e-08
0.20448019896853498,0.2617993877991494,1299.52260622242,4.392995052090881e-08
0.20448019896853498,0.7853981633974483,1288.623813746478,4.412058217561907e-08
0.20448019896853498,1.3089969389957472,1299.5226062224203,4.39299505209088e-08
0.20448019896853498,1.832595714594046,1299.5226062224203,4.39299505209088e-08
0.20448019896853498,2.356194490192345,1288.623813746478,4.412058217561907e-08
0.20448019896853498,2.8797932657906435,1299.5226062224203,4.39299505209088e-08
0.20448019896853498,3.4033920413889427,1299.5226062224203,4.39299505209088e-08
0.20448019896853498,3.926990816987241,1288.6238137464775,4.4120582175619074e-08
0.20448019896853498,4.4505895925855405,1299.52260622242,4.392995052090881e-08
0.20448019896853498,4.974188368183839,1299.52260622242,4.392995052090881e-08
0.20448019896853498,5.497787143782138,1288.623813746478,4.412058217561907e-08
0.20448019896853498,6.021385919380436,1299.5226062224203,4.39299505209088e-08
0.2730126223246101,0.19634954084936207,1330.8152980491732,4.339592086766696e-08
0.2730126223246101,0.5890486225480862,1330.8152980491736,4.339592086766694e-08
0.2730126223246101,0.9817477042468103,1330.8152980491732,4.339592086766696e-08
0.2730126223246101,1.3744467859455345,1330.8152980491736,4.339592086766694e-08
0.2730126223246101,1.7671458676442586,1330.8152980491736,4.339592086766694e-08
0.2730126223246101,2.1598449493429825,1330.8152980491736,4.339592086766694e-08
0.2730126223246101,2.552544031041707,1330.8152980491736,4.339592086766694e-08
0.2730126223246101,2.945243112740431,1330.8152980491736,4.339592086766694e-08
0.2730126223246101,3.3379421944391554,1330.8152980491732,4.339592086766696e-08
0.2730126223246101,3.730641276137879,1330.8152980491736,4.339592086766694e-08
0.2730126223246101,4.123340357836604,1330.8152980491736,4.339592086766694e-08
0.2730126223246101,4.516039439535327,1330.8152980491736,4.339592086766694e-08
0.2730126223246101,4.908738521234052,1330.8152980491736,4.339592086766694e-08
0.2730126223246101,5.301437602932776,1330.8152980491736,4.339592086766694e-08
0.2730126223246101,5.6941366846315,1330.8152980491736,4.339592086766694e-08
0.2730126223246101,6.086835766330224,1330.8152980491736,4.339592086766694e-08
0.3418693051166354,0.15707963267948966,1355.449881487428,4.2988827220730615e-08
0.3418693051166354,0.47123889803846897,1361.9873091501145,4.288268664681655e-08
0.3418693051166354,0.7853981633974483,1342.535999327589,4.320081016402678e-08
0.3418693051166354,1.0995574287564276,1361.9873091501147,4.288268664681655e-08
0.3418693051166354,1.413716694115407,1355.449881487428,4.2988827220730615e-08
0.3418693051166354,1.727875959474386,1355.449881487428,4.2988827220730615e-08
0.3418693051166354,2.0420352248333655,1361.9873091501145,4.288268664681655e-08
0.3418693051166354,2.356194490192345,1342.535999327589,4.320081016402678e-08
0.3418693051166354,2.670353755551324,1361.9873091501147,4.288268664681655e-08
0.3418693051166354,2.9845130209103035,1355.4498814874282,4.29888272207306e-08
0.3418693051166354,3.2986722862692828,1355.4498814874282,4.29888272207306e-08
0.3418693051166354,3.612831551628262,1361.9873091501147,4.288268664681655e-08
0.3418693051166354,3.9269908169872414,1342.5359993275893,4.320081016402678e-08
0.3418693051166354,4.241150082346221,1361.9873091501145,4.288268664681655e-08
0.3418693051166354,4.5553093477052,1355.449881487428,4.2988827220730615e-08
0.3418693051166354,4.869468613064179,1355.4498814874282,4.29888272207306e-08
0.3418693051166354,5.183627878423159,1361.9873091501145,4.288268664681655e-08
0.3418693051166354,5.497787143782138,1342.5359993275893,4.320081016402678e-08
0.3418693051166354,5.811946409141117,1361.9873091501145,4.288268664681655e-08
0.3418693051166354,6.126105674500097,1355.449881487428,4.2988827220730615e-08
0.4111378623223478,0.1308996938995747,1373.5173144727878,4.269737088877513e-08
0.4111378623223478,0.39269908169872414,1384.3351887060558,4.2525648020527744e-08
0.4111378623223478,0.6544984694978736,1373.5173144727878,4.269737088877513e-08
0.4111378623223478,0.916297857297023,1373.5173144727878,4.269737088877513e-08
0.4111378623223478,1.1780972450961724,1384.3351887060558,4.2525648020527744e-08
0.4111378623223478,1.4398966328953218,1373.5173144727878,4.269737088877513e-08
0.4111378623223478,1.7016960206944713,1373.5173144727878,4.269737088877513e-08
0.4111378623223478,1.9634954084936205,1384.3351887060558,4.2525648020527744e-08
0.4111378623223478,2.2252947962927703,1373.5173144727878,4.269737088877513e-08
0.4111378623223478,2.4870941840919194,1373.5173144727878,4.269737088877513e-08
0.4111378623223478,2.748893571891069,1384.3351887060558,4.2525648020527744e-08
0.4111378623223478,3.010692959690218,1373.5173144727878,4.269737088877513e-08
0.4111378623223478,3.272492347489368,1373.5173144727878,4.269737088877513e-08
